"Player","BB/100","Hands","VPIP","PFR","3Bet F","Fold to F CBet","WTSD %","WSD","CBet F","CBet T"
"Zoomparty2010","-9.58","19,409","34.70","14.98","5.76","43.07","31.08","49.64","62.89","66.84"
"Casey1223","-4.12","19,363","21.57","14.98","16.08","41.75","37.50","53.00","71.66","57.58"
"shablat","-9.65","19,336","36.89","18.51","6.64","60.98","25.96","50.16","70.61","57.70"
"ImJNash","5.21","19,312","24.77","18.75","4.55","46.71","27.97","52.12","65.93","58.33"
"PYRAT1623","-37.13","19,303","63.15","11.63","9.24","55.31","27.35","41.98","58.95","57.30"
"thewizkid27","9.90","19,087","17.01","11.31","10.96","52.29","35.42","58.15","57.55","59.12"
"KQCMD418","24.04","19,046","49.99","21.29","4.90","46.47","27.25","53.17","74.41","55.11"
"dbright341","-21.29","19,015","40.51","7.21","12.80","52.41","30.65","45.70","80.06","55.66"
"waynedanger01","-12.44","18,948","35.70","9.02","9.58","57.52","27.02","47.37","62.48","80.51"
"weyhill","-24.91","18,827","38.24","7.55","8.33","51.55","22.06","45.89","94.65","60.38"
"Jacksonglf05","-4.04","18,801","47.27","6.65","8.30","52.17","32.50","51.04","79.20","64.17"
"mannpuppy","0.59","18,678","26.60","20.75","3.05","37.04","28.28","47.47","62.37","54.13"
"FloppinSets88","9.54","18,660","24.62","17.65","12.99","47.11","31.55","51.59","54.15","57.37"
"Mayor Flopnstuf","0.22","18,589","20.33","14.94","11.88","43.35","32.50","57.43","47.73","69.60"
"capt.daddy08","-5.08","18,535","41.62","26.94","10.23","53.52","32.69","50.95","41.62","42.23"
"$BIGMOON23","-14.01","18,529","51.07","15.83","6.92","64.15","25.89","43.36","68.50","67.02"
"the3ofDubs","3.36","18,513","25.46","15.06","4.76","48.52","29.66","50.45","73.46","52.72"
"mikethedeeter","-43.74","18,473","47.19","12.68","17.70","42.11","33.47","44.59","49.51","58.43"
"Hunnihalf","4.84","18,463","28.35","20.41","6.72","56.14","32.07","60.40","40.88","49.53"
"eddp60","-73.88","18,364","71.06","2.98","2.83","45.74","33.22","38.42","78.50","76.00"
"jb123605","-7.18","18,260","12.41","1.04","3.45","66.45","25.02","65.61","67.65","78.57"
"donmargie","-9.17","18,228","29.30","5.73","2.09","55.36","35.36","56.00","80.40","45.67"
"smootch73","-16.44","18,220","39.92","4.22","2.86","44.23","34.66","53.94","55.61","49.37"
"kibbles23","-2.41","18,161","27.08","18.46","7.48","42.22","32.10","53.84","42.01","52.97"
"josie_qiu","-1.12","18,135","36.02","24.09","3.03","48.01","32.90","50.13","68.21","41.54"
"skothicus","-16.93","17,965","33.87","18.94","8.66","57.04","24.22","46.85","73.73","33.80"
"TomatoChamp","-4.17","17,955","23.27","13.56","7.32","57.73","26.21","58.98","45.13","58.94"
"tua59266","-17.27","17,838","41.87","22.36","4.31","51.91","28.89","48.50","65.71","69.32"
"slimwoody","-1.12","17,807","23.05","15.71","11.04","45.68","28.06","55.89","72.99","67.59"
"00joe11","8.89","17,800","14.82","12.56","15.07","46.72","26.46","63.81","56.36","33.87"
"Burnsie197","-4.24","17,696","45.17","27.34","9.77","48.54","29.67","48.15","68.68","35.01"
"Slevidge","11.95","17,657","28.64","19.03","9.60","41.60","36.19","52.10","43.81","53.78"
"EddieShack27","-10.70","17,625","21.39","16.74","13.59","53.64","37.79","55.88","34.84","42.70"
"dosburritos420","-7.54","17,589","33.56","6.44","6.75","70.37","27.57","48.50","63.65","81.72"
"Chroniconetoo","-7.87","17,583","22.77","12.57","6.35","42.88","29.17","49.84","58.97","74.19"
"Mackalious52","-9.14","17,471","39.50","4.44","4.89","78.82","24.37","55.05","51.60","69.70"
"paulywalnuts410","-8.24","17,465","21.51","5.37","3.39","41.65","25.60","53.00","72.01","57.89"
"PSUDoddy","4.74","17,451","27.72","21.68","8.70","48.78","31.56","52.35","64.42","31.50"
"hoov570","-24.34","17,444","61.38","1.25","7.55","51.71","29.95","48.40","86.26","69.23"
"TheProf29","4.09","17,292","24.68","20.44","9.14","44.74","32.77","52.50","62.14","71.94"
"lenw2","0.36","17,273","31.31","4.34","4.98","71.21","27.55","57.30","65.16","88.62"
"LoLo31391","-168.29","17,015","78.06","43.06","11.06","50.10","32.25","34.13","70.48","57.99"
"kingjack5417","-15.02","16,996","42.78","29.64","5.33","36.75","36.06","49.85","50.72","45.51"
"Dissentience312","4.40","16,944","24.26","13.57","15.09","46.43","30.78","55.65","49.34","46.62"
"Willis0223","-2.88","16,935","29.98","13.00","1.19","43.70","29.96","54.90","76.71","60.00"
"twdaaces5150","-11.01","16,915","31.85","15.61","7.91","49.39","28.76","49.46","65.92","49.54"
"jcebx","-20.22","16,731","22.97","5.07","12.36","50.54","35.46","60.86","51.55","63.44"
"Ojama3","-3.10","16,486","28.18","6.38","5.78","53.61","29.68","51.16","63.59","52.47"
"twigpudding","-4.10","16,458","21.43","13.48","8.54","47.99","29.01","53.91","38.39","64.73"
"TheTeflonDon(k)","2.44","16,420","26.44","21.47","6.35","35.92","29.57","50.83","66.06","54.60"
"ERNJO","9.10","16,415","41.98","21.08","5.76","51.99","24.37","44.85","92.16","56.47"
"ProfitMonger","2.71","16,405","34.73","26.09","13.61","43.69","34.74","49.70","57.18","56.41"
"diggy717","-41.61","16,228","53.14","16.11","9.72","36.21","37.01","39.27","50.25","90.88"
"raekownsiddique","-12.12","16,125","40.83","21.50","6.09","60.37","28.07","52.33","57.32","61.48"
"schlitz543","-18.11","16,095","35.04","23.15","9.58","42.17","33.12","48.52","63.28","68.55"
"broage","-29.66","15,997","57.20","18.54","7.92","46.09","33.45","49.48","60.85","56.28"
"Shove 2 7 Off","27.34","15,991","25.89","20.73","12.39","50.71","34.04","58.73","55.44","58.67"
"OakLaneSh735","-15.72","15,931","36.53","9.85","4.87","51.77","26.35","48.19","78.24","45.07"
"aetherz","-6.51","15,896","49.61","13.47","7.21","44.04","27.64","49.16","69.12","62.13"
"TheEntireCircus","-10.29","15,803","22.27","15.12","0.00","58.89","26.32","57.64","39.21","54.84"
