"Player","Hands","BB/100","VPIP","CC 2Bet PF","PFR","3Bet F","Fold to 3Bet","Flop AF","Donk F","CBet F","Fold to F CBet","XR Flop","Bet T","Bet R","Call R Bet","WTSD %","WSD"
"19Beatles65","1,834","7.55","33.59","21.28","0.61","2.56","63.04","1.91","35.00","66.67","73.03","0.70","39.00","29.91","39.39","31.07","57.08"
"19mavas69","514","-26.46","45.63","37.50","15.08","0.00","34.78","1.15","19.70","53.57","25.00","2.04","44.54","37.33","20.00","34.11","38.36"
"19Secrets","1,517","5.54","42.38","24.03","21.08","24.14","60.00","4.48","33.33","73.48","41.67","13.40","53.90","62.77","20.63","27.43","47.09"
"19tacoma","651","-17.25","22.20","10.96","1.26","0.00","94.12","0.75","2.22","100.00","34.29","4.65","28.57","29.63","26.67","31.76","51.06"
"19Twisted51","3,038","-9.48","38.49","13.73","5.46","7.69","59.15","2.72","47.06","74.04","63.37","0.44","61.50","66.06","31.85","27.75","44.60"
"19Victoria72","8,419","22.16","27.82","20.14","5.52","12.28","73.41","1.18","0.40","76.52","57.27","3.77","18.97","18.36","34.55","31.55","62.68"
"1airbrusher","27,000","-8.64","52.38","31.45","5.13","3.44","60.13","2.08","42.38","88.33","61.26","1.61","46.53","38.26","39.09","30.23","49.48"
"1ankle2","22,479","14.46","22.26","11.49","14.41","11.11","51.92","1.80","1.31","67.98","50.25","1.75","30.55","24.52","30.27","28.14","57.08"
"1Apogee","20,949","1.63","33.68","21.79","11.06","4.57","59.56","2.58","33.51","72.58","58.78","2.49","41.90","35.77","26.74","28.22","52.08"
"1bigshark0925","846","-169.63","50.97","33.33","30.96","25.00","46.81","1.67","41.86","43.65","39.13","6.25","33.54","34.78","38.71","37.40","43.06"
"1bobbiclai","13,720","-9.93","41.46","24.60","8.77","7.59","79.25","2.99","22.14","63.85","61.97","4.94","46.44","44.57","21.00","23.22","46.02"
"1Boomswitch","2,413","-9.62","22.91","13.46","15.52","0.00","62.00","2.12","0.00","65.46","53.73","5.45","32.25","20.45","36.56","31.83","56.50"
"1bvincent","1,424","-30.38","53.16","33.93","7.29","14.81","48.78","0.72","6.51","49.18","49.32","1.51","18.12","24.84","38.51","40.36","59.40"
"1ChipCall","999","34.43","68.32","40.85","28.92","7.69","32.69","2.26","24.17","65.94","60.00","3.42","41.24","29.45","28.05","26.28","53.53"
"1DeadPhish","2,152","-28.27","33.87","22.75","4.20","6.25","69.09","0.93","19.53","60.00","58.25","0.48","32.48","32.06","46.84","32.84","49.31"
"1DogBite","11,366","-12.69","58.02","40.37","11.43","5.39","59.62","1.89","8.67","62.52","46.64","8.72","39.22","30.20","27.65","24.77","48.04"
"1Erection","8,837","-7.35","37.12","26.31","13.50","1.30","60.33","0.96","12.28","40.22","50.23","1.14","41.08","35.74","31.14","28.01","49.46"
"1ethan0","530","-99.38","61.83","37.50","13.17","0.00","29.63","1.89","28.33","85.00","67.31","0.00","48.39","53.26","21.95","22.13","38.96"
"1evilgremlin","592","-37.45","53.77","31.91","10.96","5.26","37.50","1.37","33.33","71.79","54.00","1.75","34.44","24.11","32.20","41.69","49.32"
"1freshdonk","683","-22.50","51.81","58.14","11.46","0.00","48.39","1.76","29.69","68.89","48.94","4.69","43.32","40.00","25.93","34.90","43.28"
"1GJT1","8,387","-9.12","29.08","14.31","4.72","13.70","67.72","3.10","14.70","84.65","62.29","5.81","42.61","39.88","30.54","25.20","45.15"
"1GOF","11,981","-21.90","42.14","22.62","7.72","3.41","65.14","1.69","19.09","66.40","61.72","3.84","33.60","29.08","46.93","35.35","46.82"
"1kawfee1","988,971","4.03","23.36","11.94","18.19","17.14","58.41","2.10","7.70","51.57","45.04","7.03","35.08","26.48","41.74","33.93","52.62"
"1lampstudios","859","8.98","37.72","30.67","9.83","17.65","45.71","2.72","42.68","72.09","52.17","8.77","57.24","59.77","20.00","26.07","42.35"
"1LightNight","26,658","6.16","22.50","13.86","15.04","4.43","78.46","2.28","4.23","55.89","60.35","0.84","30.33","28.24","24.54","27.60","58.43"
"1maBadGuy XIX","530","-143.85","52.27","28.07","39.25","0.00","52.17","2.04","14.63","52.05","54.05","3.13","41.38","31.58","28.57","27.65","38.30"
"1manshow1989","1,656","-49.97","46.95","30.27","11.26","0.00","68.49","2.59","26.01","45.56","67.18","3.50","36.42","40.10","45.24","28.61","49.49"
"1Markaction","2,130","-60.99","42.71","33.86","5.62","2.33","62.22","2.31","31.02","82.35","64.57","0.65","34.58","33.45","33.91","28.99","50.78"
"1Marshall2","2,624","-6.59","40.09","23.78","25.36","4.55","71.51","3.03","37.23","59.64","61.76","4.23","40.95","40.45","32.14","26.70","48.71"
"1MOMONEYMO","14,594","-4.07","48.34","26.25","7.93","2.74","73.12","0.82","8.24","42.03","63.71","0.31","20.18","28.71","23.21","29.22","54.58"
"1mpulse_Ctrl","3,484","-3.91","27.91","20.30","15.29","3.45","61.98","1.07","4.17","60.52","32.74","3.23","31.80","24.92","34.97","32.99","54.17"
"1murdock44","977","-88.46","54.21","46.97","7.31","7.69","39.47","1.13","12.50","95.65","66.32","0.74","23.24","26.63","12.94","32.89","45.73"
