Player,Hands,BB/100,VPIP,PFR,3Bet F,Fold to 3Bet,Flop AF,Donk F,CBet F,Fold to F CBet,XR Flop,Bet T,Bet R,Call R Bet,WTSD %,WSD
player18197,"2,157",-5.16,27.62,5.89,18.52,76.14,1.71,23.53,64.18,53.85,1.65,34.01,30.35,30.53,32.23,56.92
player18198,"3,451",6.56,36.47,9.16,2.17,74.55,1.83,11.81,84.3,50.25,5.88,45.3,41.4,26.67,28.3,51.6
player18199,843,-43.63,42.36,6.9,16.67,80,1.26,1.23,79.31,42.11,2.7,20.77,24.6,32,34.35,53.1
player18200,"1,946",-43.48,40.05,5.57,0,53.68,0.9,2.19,60.53,50.74,7.07,20.81,20.73,26.27,33.6,52.73
player18201,"1,599",-7.63,51.33,12.46,14.63,37.97,1.7,23.53,64.41,43.97,3.87,39.96,53.02,38.71,26.74,44.84
player18202,"1,545",-21.61,39,9.4,0,78.82,2,11.7,67.31,54.2,4.7,33.59,33.73,41.94,29.79,54.55
player18203,"8,850",-14.57,46.11,1.94,2.91,63.96,0.71,6.67,64.04,48.9,1.05,24.26,29.8,22.32,29.62,54.07
player18204,"11,486",1.07,41.39,4.9,0.93,71.97,1.08,9.77,52.11,56.84,1.84,30.63,32.41,36.51,32.9,53.77
player18205,"1,703",-16.57,40.66,3.83,0,68.42,0.86,1.01,75.76,53.99,3.14,45.6,34.87,27.47,24.66,50.82
player18206,"1,790",-34.51,40.94,5.54,0,65.31,1.37,19.82,62.5,60.58,3.09,26.89,28.67,55.37,35.12,49.09
player18207,"4,390",-66.1,60.39,9.63,8.7,38.32,1.39,20.37,64.84,52.11,0.58,36.54,38.04,25.95,29.77,44.32
player18208,989,21.46,45.69,4.91,0,81.82,3.7,11.43,57.14,90.54,0.91,75.59,64.36,28,16.17,50
player18209,"17,344",-7.61,49.88,21.54,13.45,52.39,1.62,2.5,66.61,40.56,8.29,35.76,29.51,35.69,32.76,48.14
player18210,"1,086",-190.17,75.36,18.62,20,49.35,1.54,21.67,53.33,36.72,7.52,29.87,43.01,40.68,35.01,45.14
player18211,"6,918",-60.22,51.05,10.95,5.45,46.85,1.33,20.28,50.99,47.63,5.18,55.19,58.76,27.13,27.89,39.06
player18212,553,69.32,47.5,21.07,0,35.29,1.32,4.35,40.48,38.98,11.94,30.3,44.44,4,26.07,56.36
player18213,"3,302",-5.61,58.89,23.48,12.5,47.09,2.19,28.07,46.78,52.79,6.11,39.33,51.91,26.02,28.64,46.39
player18214,"2,112",-3,32.73,14.07,0,71.91,1.62,2.96,50.89,55.13,6.71,24.52,25.44,30.59,26.65,60.69
player18215,"1,391",-222.2,50.65,6.83,3.13,12.7,0.69,40.88,79.03,3.23,0,39.84,43.28,51.01,62.52,40.44
player18216,"58,679",-9.09,28.61,19.5,11.23,63.98,1.52,5.27,55.32,35.39,9.81,39.89,29.14,33.86,31.52,48.69
player18217,728,-149.68,44.85,3.62,0,38.46,1.29,46.97,72.22,26.67,3.51,55.09,44.09,36.07,33.97,39.2
player18218,"5,497",4.18,29.49,14.17,4.23,56.71,1.51,4.59,65.03,46.02,3.43,34.36,24.69,29.73,34.42,56.26
player18219,"6,800",-42.41,62.36,26.95,9.43,41.59,1.53,10.02,59.4,41.33,3.24,33.17,30.1,52.48,38.53,45.9
player18220,676,-81.95,30.03,9.46,0,58.62,1,8,33.33,50,4.35,42.55,66.67,40,24.07,48.08
player18221,"1,419",-43.08,31.67,9.21,12.5,60.47,1.18,2.06,77.05,46.07,3.08,28,24.57,43.75,31.37,41.25
player18222,"4,270",-43.2,48.67,2.3,1.64,62.96,0.6,10.33,57.69,59.63,0.73,24.13,46.77,40.13,31.28,49.35
player18223,833,13.67,34.07,13.9,0,58.54,3.11,27.45,46.27,55.26,2.38,37.69,25.61,34.88,30,45.68
player18224,564,30.5,45.89,13.21,0,66.67,1.73,25.58,75.86,37.5,8.7,47.37,51.85,44.44,29.91,35.94
player18225,"1,313",-0.99,36.71,9.2,0,84.29,2.14,23.02,92,55.65,2.52,39.5,39.86,41.86,27.84,51.67
player18226,"2,260",25.29,48.45,14.33,10.64,34.45,1.35,15.53,67.72,58.29,1.67,32.9,32.98,21.79,31.31,48.6
player18227,"1,547",-37.35,55.99,9.28,4.35,49.06,0.91,19.29,34.09,71.05,1.41,24.36,41.37,24.82,29.46,47.73
player18228,"4,652",3.22,35.15,8.95,10.24,46.85,3.44,53.02,83.4,61.9,1.53,56.84,55.95,40,26.57,46.12
player18229,"1,536",-35.13,39.12,0.26,3.23,73.53,0.33,6.12,-,42.05,0,40,58.81,48.05,38.85,42.62
player18230,999,-5.05,61.64,28.75,0,42.68,1.61,4.35,64.42,27.83,13.91,41.3,31.46,22.39,33.19,44.87
player18231,510,-49.69,55.67,9.58,0,33.33,0.86,17.14,57.14,40.54,1.85,32.73,40.54,56.14,39.05,43.9
player18232,821,10.75,43.56,27.78,12.5,62.32,1.91,2.7,72.94,37.29,14.04,34.13,27.78,56,32.67,51.22
player18233,"1,964",-74.77,39.98,9.8,0,53.57,1.2,11.11,75.49,52.94,2.59,40.15,37.45,37.4,28.46,43.36
player18234,707,-153.15,61.67,3.63,0,44.44,0.36,8.57,26.32,51.96,2.22,27.82,55.14,28.26,35.8,39.66
player18235,"1,292",-84.07,59.79,5.43,30.3,39.13,8,55.22,76,58.93,8.85,64.25,57.69,32,26.37,40.99
player18236,"1,551",7.01,43.07,9.32,4.65,50.82,1.33,17.74,60.82,39.47,6.71,49.25,41.1,29.91,28.41,46.08
player18237,"20,339",-0.76,21.97,13.59,8.55,74.69,2.17,2.3,56.83,51.24,10.45,36.81,46.35,35.45,25.22,51.82
player18238,"7,739",6.72,33.21,4.97,9.09,70.22,2.39,21.64,78.14,69.16,0.14,40.27,44.79,33.45,23.41,52.95
player18239,766,-19.01,35.86,13.72,8.33,76,2.38,19.44,74.47,65.52,3.13,28,36.67,41.03,31.11,46.43
player18240,"15,665",-11.07,31.87,12.74,7.27,53.22,2.11,38.8,50.68,53.76,6.98,37.88,47.53,38.95,30.97,48.96
player18241,743,-129.46,60.66,22.47,0,47.62,2.56,34.67,54.81,51.79,0,51.9,55.8,44.26,31.21,43.66
