,player,hands,bb_100,vpip,cc_2bet_pf,pfr,3bet_f,fold_to_3bet,flop_af,donk_f,cbet_f,fold_to_f_cbet,xr_flop,bet_t,bet_r,call_r_bet,wtsd,wsd,cluster,cluster_name
4693,DrSnugsMD,13080.0,-1.56,44.31,32.92,7.74,3.41,64.72,0.71,0.56,61.38,49.52,2.15,29.05,28.26,30.31,32.5,54.35,0,The Loose Passive Fish
4694,DrSpheniscidae,1413.0,11.21,32.7,15.06,17.39,20.59,56.52,3.97,63.33,77.62,59.09,5.17,49.77,34.15,48.21,32.9,54.25,5,The Moderate Aggressor
4695,drstevenbrule,2293.0,-1.57,50.07,34.81,28.85,18.42,51.32,4.09,24.61,70.49,50.0,9.87,43.37,55.87,29.7,27.21,50.36,5,The Moderate Aggressor
4696,drtheref24,8507.0,-16.36,28.42,11.48,12.65,22.41,72.29,4.87,21.37,74.02,63.39,10.22,41.82,22.97,28.08,26.48,52.3,5,The Moderate Aggressor
4697,Dru1022,4213.0,-30.37,70.47,42.63,29.74,0.0,43.7,1.33,5.37,50.53,44.35,6.13,24.46,32.26,44.27,38.55,53.0,2,The Hyper-aggro Maniacs
4698,Drunk Hermit,7833.0,4.27,19.41,18.16,10.89,2.78,78.37,2.42,9.41,57.85,62.27,2.15,36.04,33.9,19.17,23.6,63.05,0,The Loose Passive Fish
4699,DrunkDrewbie,26934.0,12.98,49.43,33.6,6.79,4.44,57.54,0.92,2.42,75.84,49.91,2.83,29.06,26.73,30.91,32.02,53.51,0,The Loose Passive Fish
4700,DrunkMatt58,1690.0,-74.29,52.64,31.19,10.35,5.26,47.76,1.8,36.7,77.42,45.9,4.96,44.91,51.83,30.28,29.89,46.77,1,The Solid Regs
4701,DrunkonBailey,11887.0,-73.75,72.07,62.28,33.1,5.63,25.53,1.56,8.95,70.91,36.61,10.9,44.15,48.98,45.14,36.79,41.08,1,The Solid Regs
4702,drwallst,2401.0,-31.61,33.25,21.05,14.64,15.38,68.64,3.17,6.67,68.06,66.33,4.38,38.79,40.19,23.53,25.13,48.94,2,The Hyper-aggro Maniacs
4703,dryagedbeef,10970.0,-25.96,34.48,21.63,16.94,6.54,57.49,1.6,3.83,66.51,39.8,8.46,40.19,40.25,39.87,32.43,43.94,2,The Hyper-aggro Maniacs
4704,Dsac2,27483.0,-2.82,27.65,15.31,15.77,11.81,70.69,1.24,1.26,42.92,40.93,9.21,42.98,39.97,44.42,31.77,48.82,0,The Loose Passive Fish
4709,DSHRIMPY,1542.0,-34.09,37.74,26.28,8.41,11.76,54.24,1.45,7.91,68.25,43.81,2.14,35.91,40.98,30.34,36.26,44.75,2,The Hyper-aggro Maniacs
4710,dshultz666,2172.0,-37.91,57.61,26.06,8.29,8.33,73.42,1.92,8.97,90.63,55.88,5.19,51.38,30.94,41.43,29.11,44.93,4,The Loose Aggro Fish
4712,dsilvers19,1112.0,-71.71,65.41,60.0,4.15,7.69,76.19,2.14,27.74,88.89,60.0,0.0,56.39,47.85,27.85,24.93,36.87,4,The Loose Aggro Fish
