,player,hands,bb_100,vpip,pfr,3bet_f,fold_to_3bet,flop_af,donk_f,cbet_f,fold_to_f_cbet,xr_flop,bet_t,bet_r,call_r_bet,wtsd,wsd,cluster,cluster_name
9372,LMB19881775,2013.0,-32.42,54.09,10.08,22.22,34.88,1.44,25.35,71.93,45.12,6.33,33.16,36.87,41.82,37.84,45.39,4,Overly Aggressive Semi-Loose Players
9373,lmm8319,1419.0,-41.49,48.5,5.65,2.27,41.86,0.95,16.19,78.0,51.89,0.54,39.78,44.06,39.42,31.27,51.38,4,Overly Aggressive Semi-Loose Players
9374,Lmoney0420,1325.0,-22.23,53.46,2.93,0.0,66.67,1.69,7.24,55.0,50.36,12.5,30.09,33.02,42.86,31.29,44.89,2,Semi-Loose Neutral Players
9375,lmsrn54,9564.0,-73.92,54.07,5.06,3.27,57.97,2.78,78.16,97.68,46.09,0.88,81.25,82.9,35.16,31.6,36.0,4,Overly Aggressive Semi-Loose Players
9377,lnutnutl,8178.0,-8.62,30.03,17.82,7.14,61.35,2.8,27.61,53.6,62.88,1.78,35.97,42.86,38.95,27.38,48.83,5,Tight Passive Rocks
9379,loafdawg5499,1718.0,-26.03,51.81,12.49,13.46,45.88,3.02,34.21,86.61,70.8,4.05,60.37,66.42,31.51,25.59,38.86,4,Overly Aggressive Semi-Loose Players
9380,lobaczd,2324.0,-1.97,34.77,12.35,19.23,72.0,3.31,21.58,72.26,60.34,8.61,47.46,44.5,33.8,25.47,50.74,5,Tight Passive Rocks
9381,LobstahPot,6356.0,-10.5,38.1,21.58,8.89,49.11,1.0,0.92,44.71,48.72,3.83,21.4,24.26,39.58,34.27,52.13,2,Semi-Loose Neutral Players
9382,Lobster_1023,1678.0,-7.25,44.36,23.5,0.0,66.92,2.51,7.14,87.43,53.66,3.88,41.83,33.65,32.89,32.89,48.47,5,Tight Passive Rocks
9384,locepoker950,5730.0,-52.4,59.99,10.82,1.78,54.44,2.24,51.43,77.41,46.1,5.26,46.32,55.99,34.16,32.5,47.12,4,Overly Aggressive Semi-Loose Players
9385,LockCityBets,11363.0,25.51,53.87,20.32,6.03,51.48,3.4,41.51,79.23,46.18,5.19,54.58,50.22,30.76,26.41,50.29,5,Tight Passive Rocks
9386,lockdietz0301,4074.0,-24.6,36.54,4.1,10.26,75.0,1.36,14.23,45.57,65.86,1.09,24.27,31.36,32.78,28.76,50.0,2,Semi-Loose Neutral Players
9388,locoman99926,1456.0,13.21,35.27,7.96,5.88,52.5,1.53,15.87,56.45,51.85,5.26,31.23,37.1,28.24,28.52,50.63,0,Balanced Semi-Loose Players
9389,Locoplaya74,3726.0,22.88,41.41,4.24,10.29,49.57,1.26,10.58,71.6,61.86,2.04,36.71,51.69,20.35,23.09,51.33,5,Tight Passive Rocks
9390,locuraVirtual,1178.0,-16.27,31.9,8.28,0.0,76.92,2.45,26.51,85.71,52.73,8.7,56.9,47.0,27.03,29.03,52.78,5,Tight Passive Rocks
9391,Lodaddy1017,3860.0,-85.54,54.64,8.62,10.0,43.29,0.49,11.78,28.0,38.25,4.58,25.39,33.58,31.97,41.52,43.72,1,Loose Passive Callers
9393,Logan2138,1088.0,-52.44,49.3,5.44,33.33,36.36,0.75,13.93,85.71,63.46,0.0,21.91,24.64,41.67,37.15,49.53,1,Loose Passive Callers
9394,LoganLanden,4203.0,-0.3,30.87,8.59,5.88,52.08,0.71,1.12,44.83,50.0,2.93,15.96,19.76,30.85,32.85,59.05,0,Balanced Semi-Loose Players
9395,loganmc41265,1943.0,-61.01,41.52,9.87,22.73,60.0,1.26,26.89,51.69,52.38,7.06,61.66,64.31,29.03,28.69,44.53,4,Overly Aggressive Semi-Loose Players
9397,logythebear14,4488.0,-8.54,34.03,5.57,6.9,76.63,1.74,21.27,71.74,50.8,7.89,45.42,46.09,33.33,29.19,50.0,5,Tight Passive Rocks
9398,LoJackCity,4417.0,20.56,25.14,18.93,10.87,66.19,2.49,0.0,74.31,47.71,3.4,29.5,32.84,32.59,24.92,60.0,0,Balanced Semi-Loose Players
9400,lokininja01,2033.0,-3.21,47.76,11.4,15.38,64.21,0.91,7.41,52.59,46.6,2.6,32.84,36.07,32.09,33.82,51.24,0,Balanced Semi-Loose Players
9402,Lolajax24,17495.0,-15.19,33.01,5.03,4.46,87.16,1.41,3.01,62.11,48.94,2.04,28.32,24.5,28.02,25.37,53.72,0,Balanced Semi-Loose Players
9403,lolfdgb,36235.0,-19.35,26.38,14.56,2.61,64.95,1.52,10.24,53.47,50.18,3.78,46.69,55.85,43.33,27.6,47.19,2,Semi-Loose Neutral Players
9404,lolGTO215,7658.0,-9.88,29.14,15.09,12.28,66.81,1.08,0.88,60.34,35.9,6.58,33.46,44.2,49.81,33.08,47.85,0,Balanced Semi-Loose Players
9405,LoLo31391,23044.0,-175.46,78.27,41.04,12.14,31.19,3.46,49.87,71.58,51.06,2.23,54.81,48.51,35.72,31.55,33.67,3,Hyper-LAG Maniacs
9406,lolsamplesize,2546.0,-37.91,25.53,21.62,9.52,55.71,1.83,2.35,57.4,41.11,10.0,35.71,40.94,47.06,30.61,51.37,2,Semi-Loose Neutral Players
9409,lonexsurvivr08,1412.0,-81.53,44.33,15.92,3.33,34.67,1.84,29.92,68.75,51.58,1.77,52.73,44.3,31.37,36.01,40.08,6,Loose Aggro Fish
9411,Longashes427,7141.0,8.79,20.88,9.36,0.0,59.2,1.4,3.83,55.05,54.42,1.22,29.85,26.94,36.26,28.0,57.53,0,Balanced Semi-Loose Players
9412,Longboi1938,1393.0,-44.25,48.86,18.39,9.09,43.48,2.4,31.62,72.36,56.18,3.88,59.55,54.67,44.59,31.99,48.31,4,Overly Aggressive Semi-Loose Players
9413,Longcoats11,1414.0,1.05,30.3,9.67,5.0,72.34,1.08,3.64,69.7,52.69,2.13,34.47,24.06,53.49,29.83,53.28,0,Balanced Semi-Loose Players
9414,longdongdishong,1083.0,-82.42,54.29,6.47,9.52,27.27,0.83,8.82,59.52,49.47,3.52,27.62,36.51,35.24,36.35,46.78,1,Loose Passive Callers
9415,LongFox957,3566.0,-18.85,60.68,14.3,6.9,47.27,2.07,35.47,63.09,60.33,3.12,52.8,54.74,30.47,26.33,46.28,4,Overly Aggressive Semi-Loose Players
9416,longhair5000,21895.0,-4.71,17.7,1.64,3.42,82.29,3.21,36.03,84.07,77.87,1.28,40.46,37.89,21.25,25.34,59.9,5,Tight Passive Rocks
9417,Longshank135,25671.0,-12.56,17.38,10.23,8.43,77.21,0.94,0.11,47.28,47.43,4.26,23.23,17.52,47.89,36.55,57.95,0,Balanced Semi-Loose Players
9419,longshot83717,1980.0,-39.91,56.52,3.61,9.09,51.47,0.7,2.17,85.37,44.34,1.05,31.52,38.18,34.42,32.11,40.05,1,Loose Passive Callers
9421,loopyguy8,1237.0,-18.67,32.33,22.37,5.88,55.26,7.47,16.67,92.94,60.61,8.7,44.15,42.86,36.59,23.98,39.0,5,Tight Passive Rocks
9422,LoopyK69,4554.0,-11.46,42.56,2.8,5.19,57.69,0.83,11.8,62.82,74.4,0.59,25.35,43.02,40.35,25.68,49.57,2,Semi-Loose Neutral Players
9423,loose308,69171.0,-14.31,37.78,15.41,4.35,57.52,1.3,3.68,56.8,50.9,4.38,40.99,39.93,27.24,25.15,48.43,2,Semi-Loose Neutral Players
9425,Loot1325,3299.0,-27.85,41.52,21.77,10.77,60.85,3.69,17.74,87.23,43.63,10.42,47.7,25.38,30.37,28.47,42.9,2,Semi-Loose Neutral Players
9426,loozer412,1000.0,-39.33,45.2,22.27,10.71,26.53,3.01,45.33,71.32,45.28,18.75,62.71,55.8,19.15,30.37,40.82,4,Overly Aggressive Semi-Loose Players
9427,LopezPhila,3061.0,-4.86,43.57,13.47,21.15,64.47,1.86,19.65,53.33,51.12,2.83,60.77,54.97,35.42,24.38,44.21,5,Tight Passive Rocks
9428,lopezro86,1760.0,-10.22,50.0,11.46,9.52,51.95,2.15,29.5,50.0,53.9,4.76,44.44,41.67,36.21,30.82,52.22,2,Semi-Loose Neutral Players
9430,Lord Tumbleston,1049.0,17.78,46.09,22.55,25.0,50.0,4.12,33.87,75.19,70.0,5.56,46.86,37.5,47.62,25.28,47.32,5,Tight Passive Rocks
9432,Lord_Baltimore8,121329.0,-8.05,27.72,18.99,3.31,63.08,1.32,2.67,65.46,35.48,6.19,35.1,40.91,33.21,29.86,51.18,0,Balanced Semi-Loose Players
9433,Lord_Brick68,8372.0,-3.85,37.43,17.0,4.46,50.77,1.79,15.61,60.94,52.38,1.03,35.79,32.46,23.51,24.64,51.76,0,Balanced Semi-Loose Players
9434,Lord_Grim #1,3482.0,-12.05,18.69,1.03,0.0,88.24,1.29,2.31,46.15,62.4,2.59,16.8,22.0,31.52,29.23,58.37,0,Balanced Semi-Loose Players
9435,Lord_Kimbot557,1157.0,-51.35,30.25,17.37,0.0,63.49,1.32,0.0,75.58,44.3,2.63,28.66,28.42,37.5,27.72,53.16,2,Semi-Loose Neutral Players
9436,LordAndreiAA,1168.0,-101.41,48.46,19.1,17.5,28.81,4.0,48.04,69.83,56.14,9.59,40.0,63.45,46.58,35.1,39.06,6,Loose Aggro Fish
9437,Lordchestrfield,7083.0,-15.49,53.32,17.08,6.6,39.27,0.84,8.74,37.24,52.97,2.28,19.04,31.41,23.88,32.34,48.79,2,Semi-Loose Neutral Players
9438,LordDee667,1586.0,-90.37,41.29,15.3,12.5,41.98,1.89,33.58,66.67,40.2,1.0,49.7,50.83,46.94,37.97,41.43,6,Loose Aggro Fish
9440,lorditd1,16399.0,-66.09,73.41,0.64,0.87,47.71,0.34,7.43,32.2,41.65,0.84,31.17,33.87,26.58,34.01,43.7,1,Loose Passive Callers
9441,LordLargeQuaad,26476.0,-75.24,40.39,16.87,9.66,40.79,1.42,26.5,53.23,38.59,5.7,36.57,42.19,35.68,36.15,41.91,1,Loose Passive Callers
9442,lordlongbottom,3111.0,-20.72,21.0,7.21,13.04,76.92,4.88,35.1,86.84,69.47,4.05,41.1,30.19,49.21,23.66,44.16,5,Tight Passive Rocks
9444,LordNoah777,1055.0,-35.62,53.55,29.7,0.0,56.82,1.51,21.14,36.42,47.83,3.45,39.84,46.71,29.03,32.68,39.6,2,Semi-Loose Neutral Players
9445,LordofCoin,15276.0,1.51,31.76,17.75,7.95,70.54,1.63,0.65,73.09,39.46,13.26,46.06,43.68,35.39,27.72,44.31,0,Balanced Semi-Loose Players
9447,LordTontoPA,1075.0,-116.83,43.32,17.68,18.18,53.25,2.52,14.66,85.39,42.68,14.61,57.34,56.16,41.46,34.95,31.94,6,Loose Aggro Fish
9448,LordVader919,15430.0,-16.27,25.81,0.35,0.47,81.48,1.19,42.72,68.0,51.59,0.41,32.53,35.13,47.56,37.79,54.44,5,Tight Passive Rocks
9450,LorenzoII89,1777.0,1.27,30.97,9.94,0.0,88.76,1.92,2.1,64.0,47.42,6.45,44.19,38.33,22.64,29.98,46.43,0,Balanced Semi-Loose Players
9451,Loretta627,2489.0,-48.03,30.35,7.98,8.7,76.85,1.28,4.39,38.1,58.12,5.59,35.66,39.26,48.96,31.11,48.76,2,Semi-Loose Neutral Players
9452,lorfofbud,5487.0,-16.62,37.41,7.35,3.23,56.25,0.73,17.8,40.32,52.26,1.65,26.53,37.45,43.86,37.21,51.71,2,Semi-Loose Neutral Players
9453,LorocoBets,3589.0,2.97,33.14,19.98,7.14,64.33,1.05,0.4,46.49,47.74,2.55,18.04,23.93,27.37,34.63,57.37,0,Balanced Semi-Loose Players
9454,los zam,1569.0,-107.32,55.55,5.17,8.33,44.64,0.81,14.88,40.91,60.3,2.58,16.63,29.56,45.65,39.14,50.27,6,Loose Aggro Fish
9455,LosCoco75,9341.0,-24.56,43.1,25.35,12.36,42.39,0.82,3.07,46.04,28.8,5.7,27.89,30.37,28.23,38.78,50.62,2,Semi-Loose Neutral Players
9456,lose3799,1796.0,-59.27,53.82,13.38,2.38,44.93,1.66,21.9,54.84,44.54,11.05,51.12,58.01,28.77,28.27,40.48,1,Loose Passive Callers
9458,Losing2Lytle,2256.0,-40.4,46.07,8.4,9.68,61.18,1.22,10.77,76.77,54.4,1.75,38.55,45.68,42.65,31.05,49.55,2,Semi-Loose Neutral Players
9459,losingtrack,18394.0,-9.05,21.15,13.86,11.02,70.25,3.0,1.67,71.49,57.12,4.75,33.8,16.12,33.26,28.69,56.96,0,Balanced Semi-Loose Players
9460,loslua99,4269.0,-21.84,44.39,6.93,6.8,52.94,1.38,25.0,55.92,56.75,2.14,44.96,48.9,36.73,30.69,44.89,4,Overly Aggressive Semi-Loose Players
9461,lostinfilly2,1416.0,-35.34,29.39,12.43,0.0,62.75,1.65,5.66,53.49,44.71,11.93,38.81,50.82,30.43,23.48,43.82,2,Semi-Loose Neutral Players
9462,Lothna,220696.0,-1.92,20.27,17.29,5.79,76.51,2.25,1.71,45.73,51.52,5.41,28.18,27.52,37.16,29.88,58.29,0,Balanced Semi-Loose Players
9463,lottie0127,4368.0,-74.58,51.53,28.27,0.9,57.64,3.76,57.34,85.79,45.74,1.49,64.17,56.86,32.07,23.95,34.81,4,Overly Aggressive Semi-Loose Players
9464,lougreen2099,8250.0,-32.17,51.59,9.0,4.72,67.79,3.19,43.71,78.91,61.49,1.43,55.99,48.18,32.24,26.22,40.58,4,Overly Aggressive Semi-Loose Players
9465,LouieBeanzz,10305.0,-29.76,35.79,17.64,11.57,56.38,1.42,14.4,55.32,47.87,3.94,42.5,36.99,34.14,32.01,51.86,2,Semi-Loose Neutral Players
9466,Louied412,3937.0,5.75,48.27,8.6,7.94,56.08,1.44,6.86,83.54,51.24,6.22,38.71,41.51,44.73,29.1,48.24,5,Tight Passive Rocks
9467,loulepke,1080.0,-23.7,31.75,3.89,0.0,86.79,2.55,2.82,69.23,55.0,3.03,47.89,44.58,20.83,20.79,42.86,5,Tight Passive Rocks
9468,loumoney444,1248.0,-17.52,22.43,13.97,14.29,52.38,2.0,11.9,32.53,63.64,14.86,18.06,17.48,30.43,32.62,53.77,2,Semi-Loose Neutral Players
9469,LouMoneyLou,15885.0,-40.33,43.88,13.77,9.63,70.05,2.9,46.33,73.38,31.46,5.24,53.98,42.5,32.0,30.01,40.98,4,Overly Aggressive Semi-Loose Players
9470,lounis20,11590.0,-53.56,56.11,6.2,5.17,59.96,0.73,3.03,64.24,36.1,9.77,22.87,35.95,34.06,40.43,45.35,1,Loose Passive Callers
9471,loureed4,8503.0,-8.14,34.29,28.31,8.0,60.41,2.18,13.12,48.35,34.08,6.5,50.66,39.9,31.51,27.86,46.92,0,Balanced Semi-Loose Players
9472,Lovemarket,2294.0,-52.47,52.69,25.51,15.56,34.51,1.32,15.14,51.52,34.8,2.13,32.3,40.84,46.0,39.24,42.29,1,Loose Passive Callers
9473,LoveNoir,3027.0,-20.68,29.43,19.69,0.0,82.14,3.56,4.83,70.04,61.82,2.61,42.43,45.9,25.45,20.49,43.97,5,Tight Passive Rocks
9475,LovePopSuicide,9132.0,-11.42,24.35,17.55,12.79,63.71,2.96,9.47,53.55,59.38,5.47,30.78,28.57,35.05,29.28,53.36,0,Balanced Semi-Loose Players
9477,lowball54,5012.0,-2.53,40.74,23.31,10.81,57.79,1.59,0.67,75.23,37.92,8.75,23.12,36.94,34.09,31.78,49.79,0,Balanced Semi-Loose Players
9481,loyalmilli,2079.0,-173.66,82.21,24.53,1.92,32.68,1.44,19.94,51.79,45.76,6.8,39.64,37.21,36.32,35.85,39.21,3,Hyper-LAG Maniacs
9482,LPcrispino55,2892.0,-102.97,76.28,23.19,11.11,21.59,1.68,38.59,69.14,48.03,1.25,49.78,68.51,34.97,36.37,40.37,6,Loose Aggro Fish
9483,lperez26,2537.0,-35.18,41.85,9.85,4.35,70.48,1.53,16.72,45.0,45.57,6.77,28.44,17.38,34.95,34.14,48.99,2,Semi-Loose Neutral Players
9486,LPJ07,11605.0,3.63,56.87,23.11,12.14,49.59,1.65,7.39,56.74,47.19,5.71,39.93,42.02,29.64,31.23,43.81,0,Balanced Semi-Loose Players
9488,lpurcell2000,1776.0,-49.12,63.55,20.93,10.0,47.5,2.36,33.72,76.27,45.74,2.44,47.31,30.32,25.6,24.66,43.48,4,Overly Aggressive Semi-Loose Players
9489,lrfsport,2303.0,-17.73,36.64,0.8,13.79,84.06,1.15,8.61,0.0,59.52,5.24,27.45,33.15,32.74,37.14,51.72,2,Semi-Loose Neutral Players
9490,lrg_fsh,6809.0,7.71,28.03,21.18,14.89,53.69,1.88,1.6,62.87,36.72,11.63,37.15,35.07,35.98,33.65,50.65,0,Balanced Semi-Loose Players
9494,lskotek,4136.0,-44.84,35.59,12.2,11.11,69.16,1.8,8.01,75.32,47.21,3.91,34.88,38.08,36.0,28.82,45.56,2,Semi-Loose Neutral Players
9495,lssrd7203,3651.0,-79.74,58.2,9.55,6.76,50.88,1.65,29.64,37.7,46.62,9.19,46.95,48.23,40.61,31.48,43.19,1,Loose Passive Callers
9496,lsxzeek,6549.0,-17.4,25.62,18.13,0.0,76.12,2.86,0.5,66.53,53.3,5.82,34.6,25.57,30.08,28.45,50.86,0,Balanced Semi-Loose Players
9497,lt.rigs,6483.0,-5.17,35.7,19.84,13.56,63.93,1.15,3.03,50.79,47.96,2.76,32.37,34.23,35.54,32.4,46.82,0,Balanced Semi-Loose Players
9498,Lt224293,1186.0,-46.82,45.72,19.06,0.0,55.42,1.12,5.41,48.28,52.21,4.55,29.67,43.17,38.18,29.0,49.61,1,Loose Passive Callers
9499,Ltldog198714,1589.0,-35.43,80.55,3.72,17.65,55.36,0.55,8.17,73.68,56.62,4.56,26.28,48.5,38.97,32.81,47.02,1,Loose Passive Callers
9500,LtOpaJMJ,6666.0,8.51,30.22,13.95,6.76,59.75,2.89,22.37,75.71,55.17,6.08,42.59,38.85,40.78,27.5,47.2,5,Tight Passive Rocks
9501,LtownBrown1118,1574.0,-45.17,41.63,23.51,14.29,57.14,1.08,2.04,40.0,39.53,2.07,32.12,30.14,46.67,34.91,44.86,2,Semi-Loose Neutral Players
9504,ltz57216,75771.0,-28.33,51.88,16.6,10.96,41.14,1.72,17.22,67.97,44.35,6.04,47.32,34.86,36.46,30.86,48.2,2,Semi-Loose Neutral Players
9505,Lu_Beo1,2277.0,-18.72,55.34,7.03,10.34,61.8,1.04,7.04,63.86,53.53,3.9,25.48,34.21,27.54,32.21,51.44,2,Semi-Loose Neutral Players
9506,Lu_fromKC,3560.0,4.85,47.42,1.2,5.0,59.46,1.63,16.98,85.19,61.38,2.59,27.09,24.76,36.07,31.4,54.65,5,Tight Passive Rocks
9507,Luamoralesm 1,2591.0,-45.84,34.98,16.67,13.04,57.89,1.95,19.89,47.71,34.33,12.18,37.59,43.17,46.96,33.54,37.55,1,Loose Passive Callers
9508,luap215,2336.0,-6.88,43.29,24.17,9.09,53.89,1.09,2.14,49.47,41.97,5.26,31.59,38.27,38.93,34.33,48.32,2,Semi-Loose Neutral Players
9509,luca.florida,6907.0,-13.49,23.26,18.55,14.93,63.97,2.75,1.1,64.93,49.73,4.69,45.25,33.33,33.94,28.26,51.96,0,Balanced Semi-Loose Players
9510,lucaflorida99,3447.0,-30.81,27.86,19.59,11.36,64.23,2.63,21.65,63.35,46.91,2.55,48.41,36.8,38.17,27.39,41.45,2,Semi-Loose Neutral Players
9513,lucasbrown570,1863.0,12.72,20.82,4.32,6.25,86.21,1.16,0.0,72.92,58.14,1.27,29.23,22.78,49.4,29.2,56.36,0,Balanced Semi-Loose Players
9515,Lucasl_06,1905.0,-19.12,55.63,23.79,12.82,49.11,2.33,25.12,60.43,46.94,11.46,57.59,57.91,25.0,26.6,41.73,4,Overly Aggressive Semi-Loose Players
9516,lucasnguyen2812,11730.0,-5.32,37.75,14.53,7.5,72.17,2.3,19.33,74.31,48.78,4.57,40.55,37.78,31.34,25.87,50.69,5,Tight Passive Rocks
9518,lucianoji1,6996.0,-33.9,54.82,16.72,13.89,46.2,1.21,4.76,84.07,38.95,3.05,43.15,38.42,34.25,35.26,44.29,2,Semi-Loose Neutral Players
9519,LuciFaust,3807.0,14.39,29.41,13.49,3.13,55.46,2.2,27.23,58.94,60.13,4.27,38.1,34.04,35.68,30.57,53.88,0,Balanced Semi-Loose Players
9520,Lucifer2026,1521.0,-28.94,64.67,9.8,6.0,42.39,1.72,22.28,62.03,50.94,5.81,42.69,46.2,32.19,30.85,47.27,4,Overly Aggressive Semi-Loose Players
9522,luciusmichael,4257.0,-5.69,41.83,19.08,3.7,49.28,1.98,25.17,57.51,42.47,2.74,45.99,34.81,29.25,32.05,49.26,5,Tight Passive Rocks
9524,Luckbox7531,2267.0,-6.09,29.64,7.69,23.53,86.81,1.54,11.11,73.68,59.48,2.03,36.93,49.16,24.72,29.06,56.99,5,Tight Passive Rocks
9525,Luckboxx46,8153.0,-19.47,36.55,14.51,8.2,68.36,1.01,5.06,56.65,46.77,3.77,25.85,27.18,24.79,32.63,51.83,2,Semi-Loose Neutral Players
9527,LuckLooch88,7946.0,-46.0,53.75,13.49,4.32,50.89,1.16,14.43,62.74,28.33,8.74,42.3,35.82,30.68,32.26,41.88,1,Loose Passive Callers
9528,Luckofthe1rish,2685.0,-26.66,32.8,8.1,14.71,69.66,1.22,6.25,72.55,40.96,5.67,39.33,40.13,34.75,31.51,52.9,2,Semi-Loose Neutral Players
9529,luckwonthelpyou,5692.0,6.96,44.53,15.74,10.1,43.62,1.66,12.83,61.88,42.65,3.23,37.84,29.6,39.16,34.73,46.46,0,Balanced Semi-Loose Players
9530,Lucky by 30,5480.0,-29.37,40.68,19.41,21.82,45.38,1.45,8.52,57.17,41.34,8.4,37.36,36.38,40.35,32.76,43.8,2,Semi-Loose Neutral Players
9531,lucky100982,1274.0,-124.68,47.15,8.27,13.04,75.38,1.44,14.81,81.67,41.0,9.01,35.51,38.69,55.56,38.1,42.79,6,Loose Aggro Fish
9533,lucky1752,9753.0,-15.34,37.13,9.0,9.84,75.0,1.87,4.73,84.25,36.97,14.56,50.6,50.33,27.52,25.79,42.74,5,Tight Passive Rocks
9534,LuckyAce9988,10775.0,-87.24,60.69,7.39,9.34,38.36,0.78,12.16,67.59,48.24,3.71,32.59,38.23,37.32,40.9,46.9,6,Loose Aggro Fish
9535,luckydawg721,4797.0,-41.0,34.8,1.51,5.48,67.1,1.09,10.09,62.5,55.24,2.06,32.12,38.98,36.86,34.32,53.6,2,Semi-Loose Neutral Players
9536,luckydogmax1,2575.0,32.32,46.05,4.59,7.14,53.16,1.16,4.02,74.03,44.79,7.4,35.4,41.61,23.35,31.03,49.39,0,Balanced Semi-Loose Players
9538,LuckyDuck610,16371.0,-16.58,53.25,18.34,2.77,48.9,3.57,47.52,65.61,56.56,4.17,45.05,31.91,26.75,24.0,45.91,4,Overly Aggressive Semi-Loose Players
9540,LuckyG06,91775.0,-48.63,48.01,5.94,18.97,54.23,1.29,4.59,77.34,49.56,13.03,39.01,45.24,36.43,29.67,49.68,1,Loose Passive Callers
9541,luckygregger,2028.0,-36.21,61.98,36.94,23.08,35.35,1.5,9.87,50.29,36.51,8.81,34.41,42.16,42.65,33.5,47.92,1,Loose Passive Callers
9542,LuckyGuyX2,8654.0,5.91,49.4,19.15,4.26,58.99,3.48,29.71,72.06,56.94,9.8,50.2,33.63,39.09,27.26,47.56,5,Tight Passive Rocks
9543,luckyhilluis29,4093.0,-31.96,46.02,4.57,7.41,82.17,1.0,3.67,54.55,41.0,3.71,26.1,31.6,47.25,34.81,43.72,2,Semi-Loose Neutral Players
9544,luckylekki,1536.0,-75.68,69.99,6.22,4.65,53.33,0.93,17.37,78.26,53.06,2.25,40.57,36.9,41.62,36.08,43.59,1,Loose Passive Callers
9545,LuckyLenny412,3624.0,-4.93,36.64,17.57,12.5,52.66,1.39,2.15,74.58,38.95,6.98,45.61,37.79,41.43,30.89,45.86,5,Tight Passive Rocks
9547,luckylock1,2519.0,2.33,38.57,12.1,8.57,54.12,2.21,13.11,75.68,43.59,7.5,45.69,28.43,33.79,28.59,47.46,5,Tight Passive Rocks
9549,LuckyLuuucas,5510.0,0.97,16.22,6.04,4.0,91.62,2.62,3.47,58.55,63.36,4.43,24.63,18.35,39.13,26.7,62.76,0,Balanced Semi-Loose Players
9550,luckyman2797,9777.0,-25.36,30.87,12.11,5.77,73.51,1.04,0.85,66.2,41.79,6.13,29.63,34.22,33.14,32.11,52.88,2,Semi-Loose Neutral Players
9551,luckymanjd20,19576.0,-15.47,30.94,16.63,7.32,65.55,2.18,17.57,67.23,48.41,4.04,44.04,32.0,24.03,26.81,46.63,5,Tight Passive Rocks
9552,luckymike1325,2326.0,-30.41,45.86,4.25,20.41,61.36,2.62,32.31,56.67,85.93,0.47,40.08,37.64,32.03,27.65,49.51,4,Overly Aggressive Semi-Loose Players
9554,Luckysdoll39,3981.0,-48.53,54.27,1.69,5.26,61.6,0.29,0.96,78.95,58.45,1.48,20.32,20.13,39.21,33.72,52.21,1,Loose Passive Callers
9555,luckyxbread,2520.0,-110.27,56.81,29.34,5.26,50.0,2.78,44.31,58.62,42.35,10.32,64.07,43.87,25.0,27.87,38.44,6,Loose Aggro Fish
9558,LuisManuel09,1616.0,-22.98,60.71,7.43,0.0,66.67,0.68,12.5,53.85,60.8,1.9,18.05,38.16,29.24,34.52,44.0,2,Semi-Loose Neutral Players
9560,Luke112582,3455.0,-53.42,54.61,24.04,10.0,54.89,1.65,3.69,53.83,42.35,9.33,42.58,32.53,48.8,34.57,47.45,1,Loose Passive Callers
9561,luke_dubyah,1166.0,-48.24,44.24,16.36,12.5,76.56,3.18,37.0,60.87,65.22,4.4,38.14,44.94,32.79,28.54,45.32,4,Overly Aggressive Semi-Loose Players
9562,luke_veil,20249.0,3.5,24.05,19.29,5.83,76.81,3.79,2.82,62.57,49.78,5.48,37.39,30.65,32.48,24.63,54.62,0,Balanced Semi-Loose Players
9563,LukeB16,4230.0,28.63,62.15,17.39,4.0,52.69,2.91,43.44,88.34,64.83,4.51,50.45,42.31,30.0,27.64,48.25,5,Tight Passive Rocks
9564,lukeb2727,30138.0,-44.3,61.51,5.35,6.87,46.02,1.37,35.42,64.19,64.06,1.65,38.66,39.76,25.58,29.13,46.26,4,Overly Aggressive Semi-Loose Players
9565,lukedepasqua,11377.0,-14.93,51.47,8.34,4.88,62.06,1.54,16.03,83.37,56.98,0.4,39.08,33.65,22.48,27.5,45.89,5,Tight Passive Rocks
9566,lukee27536,12583.0,-40.78,39.43,0.7,14.29,61.62,0.58,17.4,42.86,31.9,4.81,29.12,34.78,31.15,38.95,47.4,2,Semi-Loose Neutral Players
9567,lukefarns10,4030.0,-75.82,49.86,18.54,13.04,46.35,1.27,16.14,57.49,43.31,5.87,36.59,33.33,44.34,39.35,45.89,1,Loose Passive Callers
9568,Lukemaster101,62832.0,6.53,23.52,18.77,8.02,68.33,2.57,3.26,53.76,54.82,8.24,33.77,30.73,38.55,30.02,56.37,0,Balanced Semi-Loose Players
9569,lukenarwhall1,1063.0,-52.28,31.98,23.93,6.25,62.32,2.59,1.54,84.62,46.43,3.23,39.02,37.14,43.48,26.07,36.07,1,Loose Passive Callers
9570,lukerk77,3102.0,-43.31,42.61,9.54,15.0,58.27,1.88,31.86,61.07,49.26,7.97,34.83,44.59,38.41,31.9,46.75,4,Overly Aggressive Semi-Loose Players
9571,LukeStage,1002.0,-63.04,52.1,15.61,13.64,42.22,2.36,26.79,73.61,68.29,4.35,39.0,37.87,34.48,31.34,50.0,1,Loose Passive Callers
9573,LumberJackF,4120.0,-14.91,35.74,7.06,5.45,66.01,2.17,15.27,62.41,49.34,8.25,29.94,31.87,42.37,32.06,51.3,2,Semi-Loose Neutral Players
9574,LumberZach84,2555.0,19.51,26.94,12.47,0.0,53.25,3.68,44.21,91.21,54.88,5.13,51.96,48.0,45.88,24.68,54.36,5,Tight Passive Rocks
