,player,hands,bb_100,vpip,pfr,3bet_f,fold_to_3bet,flop_af,donk_f,cbet_f,fold_to_f_cbet,xr_flop,bet_t,bet_r,call_r_bet,wtsd,wsd,cluster,cluster_name
5791,GDon1412,1882.0,6.73,35.92,11.04,10.0,51.65,1.46,29.27,40.82,50.0,10.98,32.8,36.36,27.55,28.37,48.51,0,Balanced Semi-Loose Players
5793,GDRobot,26427.0,-4.79,32.25,23.71,6.32,71.67,2.02,1.96,62.93,35.39,4.56,27.3,22.64,45.05,32.39,52.3,0,Balanced Semi-Loose Players
5794,gdwhite87,1409.0,-12.31,33.65,6.96,25.0,66.07,1.88,20.0,50.91,51.06,5.56,40.17,43.54,23.81,26.42,55.38,2,Semi-Loose Neutral Players
5797,GearJammer1979,4976.0,-38.8,29.19,9.14,13.79,50.62,1.62,17.0,82.87,58.8,0.65,22.18,17.37,36.25,35.4,59.57,2,Semi-Loose Neutral Players
5798,geauxtigers1022,5075.0,-47.86,51.47,18.13,4.94,52.73,1.62,6.39,74.72,48.66,1.32,35.81,31.95,34.71,28.46,39.92,1,Loose Passive Callers
5799,gebhoff99,8148.0,-62.86,45.69,0.82,4.48,61.27,0.15,2.06,40.0,42.03,2.97,11.04,33.74,29.6,39.22,51.24,1,Loose Passive Callers
5800,gecko_eh97,11421.0,-29.23,32.67,6.91,6.76,74.08,1.47,4.32,62.69,62.76,2.51,24.64,23.06,32.67,27.24,51.41,2,Semi-Loose Neutral Players
5801,Gee Rosado,1856.0,-18.4,54.22,11.77,4.0,48.89,1.03,9.35,48.21,41.82,4.33,35.42,41.64,28.99,28.53,47.17,2,Semi-Loose Neutral Players
5802,geezupt12,1270.0,-104.6,41.31,9.95,54.55,58.49,1.46,23.16,50.0,45.45,16.16,42.96,50.0,46.75,39.26,36.79,6,Loose Aggro Fish
5804,geisha8888,1768.0,-25.71,76.61,30.64,7.94,27.48,1.25,15.26,35.11,55.39,2.48,33.49,26.98,34.83,34.69,46.02,2,Semi-Loose Neutral Players
5805,GeltmanTheJew,1370.0,12.55,32.57,9.31,14.29,74.07,1.42,16.13,55.0,53.95,9.4,30.14,37.59,28.95,32.17,51.02,0,Balanced Semi-Loose Players
5806,Gen7719,4719.0,8.82,29.09,9.09,3.03,78.03,1.29,9.71,51.52,52.92,2.11,37.44,29.62,29.41,24.88,50.16,0,Balanced Semi-Loose Players
